Gene	T389pH67_1	T401pH67_2	T455pH67_3	T642pH61_1	T665pH61_2	T672pH61_3	T652pH565_1	T671pH565_2	T699pH565_3	T723pH565_4
Fisuc_0341	223.7269	201.8742	298.4670	291.9670	301.2275	330.1613	501.8331	623.0407	690.4681	534.0540
Fisuc_0343	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.7742	5.1728	4.3290	5.1532
Fisuc_0344	334.3046	399.8663	420.3940	602.0406	611.2714	587.7216	816.2663	745.4647	887.4355	923.8197
Fisuc_0345	203.1543	217.4030	295.9269	454.9254	443.7595	490.9204	509.7071	477.6262	574.6686	489.0810
Fisuc_0346	200.5828	174.6989	302.2772	377.9728	423.1879	404.4908	576.8981	590.8541	677.4812	521.8738
Fisuc_0347	59.1462	47.8804	35.5620	38.4763	45.5515	27.6575	40.4196	34.4856	39.5017	38.4144
Fisuc_0348	47.5741	19.4110	43.1825	97.3223	73.4701	67.4151	120.2090	129.8959	116.8817	85.7297
Fisuc_0349	156.8660	103.5253	128.2773	153.9051	174.8589	209.1597	127.0331	102.3074	122.2929	120.8649
Fisuc_0350	93.8624	89.2905	105.4160	117.6921	92.5724	84.7011	85.0387	81.6160	80.0856	71.2072
Fisuc_0351	56.5746	54.3508	63.5036	58.8461	72.0007	48.4006	62.9916	66.6723	76.8389	56.2162
Fisuc_0352	55.2888	23.2932	58.4233	67.8993	54.3679	43.2148	30.9709	27.0138	48.7007	33.7297
Fisuc_0353	24.4300	19.4110	26.6715	47.5295	48.4903	36.3005	27.2964	20.6914	29.2204	30.9189
Fisuc_0354	36.0020	38.8220	87.6350	101.8490	86.6947	74.3295	48.2936	63.7984	69.2633	55.2793
Fisuc_0355	273.8726	298.9292	364.5108	334.9699	376.1670	388.9334	270.3390	301.1747	329.0005	346.6666
Fisuc_0356	997.7707	1005.4891	716.3208	685.7830	677.3945	629.2078	342.7793	339.1089	296.5333	366.8108
Fisuc_0357	109.2919	165.6404	77.4744	63.3727	61.7149	65.6865	139.1065	72.4199	79.0034	55.7477
Fisuc_0358	194.1538	236.8140	184.1605	135.7986	152.8178	179.7737	106.0359	113.8026	100.1071	85.7297
Fisuc_0359	16.7152	20.7051	24.1314	2.2633	13.2246	12.1002	39.3698	44.2566	41.1251	38.4144
Fisuc_0360	621.0351	703.9717	561.3720	525.0880	543.6789	561.7927	224.6701	239.6752	219.1533	219.7117
Fisuc_0361	596.6051	601.7406	527.0800	439.0822	412.9021	456.3485	442.5160	462.6824	398.8049	346.6666
